prompt_idx,ordering_idx,prompt,status,timestamp
0,0,Iâve yet to use facilities to calve a heifer tha,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.537438
0,1,Iâve yet to use facilities to calve a heifer tha,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.537699
1,0,Something like this. Maybe the cost of a quote to ,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.537876
1,1,Something like this. Maybe the cost of a quote to ,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.538140
2,0,Was helping dad work a set in a particularly poor ,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.538429
2,1,Was helping dad work a set in a particularly poor ,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.538604
3,0,51000 thats not to bad is it.An you still kept hei,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.538736
3,1,51000 thats not to bad is it.An you still kept hei,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.538874
4,0,Reading this post made me think back when I was a ,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.539004
4,1,Reading this post made me think back when I was a ,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.539130
5,0,Curious what guys are doing when finishing cows â,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.539240
5,1,Curious what guys are doing when finishing cows â,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.539372
6,0,I run hair sheep and they can be highly profitable,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.539496
6,1,I run hair sheep and they can be highly profitable,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.539614
7,0,This was 100% my own stupidity. This spring I had ,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.539738
7,1,This was 100% my own stupidity. This spring I had ,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.539871
8,0,Glad to see its working for you. I have sedan gras,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.539994
8,1,Glad to see its working for you. I have sedan gras,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.540166
9,0,This will be my 3rd year calving heifers. Most of ,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.540318
9,1,This will be my 3rd year calving heifers. Most of ,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.540505
10,0,"My thoughts on pounding wood posts, most of the ti",failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.540651
10,1,"My thoughts on pounding wood posts, most of the ti",failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.541303
11,0,"High Beef Prices: “If You Want to Help, Stop Tryin",failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.541524
11,1,"High Beef Prices: “If You Want to Help, Stop Tryin",failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.541829
12,0,so is the guy who only sells a few head once or tw,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.541991
12,1,so is the guy who only sells a few head once or tw,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.542179
13,0,I read a book on it in high school.  Pointers I re,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.542456
13,1,I read a book on it in high school.  Pointers I re,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.542585
14,0,Could pairs graze in between rows of Christmas tre,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.542695
14,1,Could pairs graze in between rows of Christmas tre,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.542815
15,0,Iâm not sure how Artificial Intelligence can ful,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.542938
15,1,Iâm not sure how Artificial Intelligence can ful,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.543082
16,0,Mitchco - 12/20/2025  16:59 I was tagging a day ol,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.543219
16,1,Mitchco - 12/20/2025  16:59 I was tagging a day ol,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.543453
17,0,"Calves were bought at local sale barn, they are co",failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.543585
17,1,"Calves were bought at local sale barn, they are co",failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.543690
18,0,Turns out the cow may be a Highlander bull. The fi,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.543791
18,1,Turns out the cow may be a Highlander bull. The fi,failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.543909
19,0,"In my experience, cows and calves play with the sm",failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.544039
19,1,"In my experience, cows and calves play with the sm",failed: 'NoneType' object has no attribute 'run',2025-12-26T05:42:56.544155
